Wavelength (Angstroms), Normalized intensity, Element
7811.202, 9087, 
7811.304, 9326, 
7811.404, 9510, 
7811.506, 9625, 
7811.608, 9704, 
7811.71, 9737, 
7811.81, 9768, 
7811.912, 9789, 
7812.014, 9785, 
7812.116, 9842, 
7812.216, 9856, 
7812.318, 9819, 
7812.42, 9852, 
7812.52, 9854, 
7812.622, 9858, 
7812.724, 9872, 
7812.826, 9877, 
7812.926, 9882, 
7813.028, 9881, 
7813.13, 9860, 
7813.232, 9874, 
7813.332, 9875, 
7813.434, 9873, 
7813.536, 9854, 
7813.636, 9702, 
7813.738, 9832, 
7813.84, 9883, 
7813.942, 9879, 
7814.042, 9879, 
7814.144, 9880, 
7814.246, 9844, 
7814.348, 9860, 
7814.448, 9878, 
7814.55, 9871, 
7814.652, 9879, 
7814.752, 9873, 
7814.854, 9854, 
7814.956, 9880, 
7815.058, 9878, 
7815.158, 9879, 
7815.26, 9875, 
7815.362, 9867, 
7815.462, 9865, 
7815.564, 9838, 
7815.666, 9845, 
7815.768, 9816, 
7815.868, 9792, 
7815.97, 9835, 
7816.072, 9843, 
7816.174, 9853, 
7816.274, 9863, 
7816.376, 9879, 
7816.478, 9870, 
7816.578, 9854, 
7816.68, 9864, 
7816.782, 9870, 
7816.884, 9861, 
7816.984, 9879, 
7817.086, 9879, 
7817.188, 9868, 
7817.29, 9808, 
7817.39, 9869, 
7817.492, 9879, 
7817.594, 9879, 
7817.694, 9863, 
7817.796, 9868, 
7817.898, 9808, 
7818.0, 9833, 
7818.1, 9850, 
7818.202, 9872, 
7818.304, 9890, 
7818.404, 9897, 
7818.506, 9884, 
7818.608, 9845, 
7818.71, 9828, 
7818.81, 9857, 
7818.912, 9865, 
7819.014, 9878, 
7819.116, 9884, 
7819.216, 9881, 
7819.318, 9862, 
7819.42, 9860, 
7819.52, 9877, 
7819.622, 9885, 
7819.724, 9891, 
7819.826, 9887, 
7819.926, 9857, 
